label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
draw,0.340386987,0.962320805,-7.07E-05,0.383048117,0.959650934,-0.046162322,0.410090029,0.916920662,-0.081408314,0.406083465,0.865164876,-0.106480397,0.385682404,0.82459271,-0.120413102,0.382976264,0.800303698,-0.065479793,0.37383005,0.653889596,-0.106089145,0.378817379,0.710072994,-0.091667883,0.370005548,0.603935003,-0.117421649,0.352122188,0.809238732,-0.06144074,0.36852926,0.835418582,-0.126217231,0.36006251,0.784084439,-0.115220547,0.37160936,0.86611259,-0.127904639,0.325339943,0.83416158,-0.062745258,0.350390106,0.90893054,-0.127491802,0.339963049,0.846072078,-0.120860092,0.355362892,0.947896898,-0.122961089,0.303292066,0.868500531,-0.066123448,0.329055786,0.920414984,-0.111904725,0.316114902,0.878207147,-0.104951717,0.335248142,0.950347602,-0.113231257
draw,0.3424339,0.956933975,-3.69E-05,0.382826507,0.936307013,-0.036313698,0.408071756,0.878962874,-0.068354234,0.404259622,0.820336938,-0.09714058,0.383318037,0.780862093,-0.121319972,0.376862764,0.781935215,-0.039351828,0.373056591,0.626166463,-0.080585532,0.375440955,0.692962587,-0.061567884,0.37128669,0.56463623,-0.095576957,0.345363081,0.791364074,-0.043895304,0.366840065,0.778265178,-0.108925104,0.351220995,0.72875005,-0.091771983,0.37481904,0.824364185,-0.11435812,0.316103786,0.816831946,-0.052538812,0.347664177,0.853659093,-0.11487221,0.33109948,0.785524309,-0.107174061,0.35292393,0.901875794,-0.108624689,0.288344413,0.851502299,-0.062464111,0.324956119,0.869275987,-0.10592223,0.307349473,0.822031021,-0.103855953,0.329568833,0.905009508,-0.102632865
draw,0.34602052,0.956660211,-4.11E-05,0.380438775,0.929862618,-0.029481573,0.406815737,0.852703273,-0.056796171,0.408630252,0.785306931,-0.082235388,0.388271809,0.742826402,-0.104175642,0.373551816,0.763857007,-0.013373809,0.372696429,0.613752484,-0.075186193,0.372415602,0.678171158,-0.045468129,0.371889591,0.554157376,-0.098221511,0.34223783,0.772835851,-0.020555854,0.367965281,0.788534701,-0.089851551,0.352080822,0.710560143,-0.079287194,0.367930114,0.829725266,-0.078813568,0.312206954,0.800809681,-0.034908783,0.345812708,0.827907562,-0.092408739,0.329428971,0.748649061,-0.09454371,0.341490239,0.86235708,-0.076505803,0.282733172,0.838190675,-0.051392935,0.322923332,0.848945677,-0.085924752,0.306963682,0.795102894,-0.091253497,0.315764815,0.876871943,-0.076515511
draw,0.338494301,0.95074141,-4.40E-05,0.374933004,0.918452382,-0.017976157,0.401793331,0.832258821,-0.040003687,0.405456573,0.756691515,-0.064203314,0.383146882,0.70882678,-0.082021907,0.370163083,0.751545608,0.013775911,0.373116463,0.594133615,-0.027226591,0.37206316,0.66204977,-0.006489408,0.373234034,0.52921015,-0.045418311,0.341931611,0.755998313,0.0026652,0.364101022,0.74622333,-0.050714206,0.349019021,0.679037988,-0.042518519,0.366059393,0.792986453,-0.039466165,0.312848151,0.779479325,-0.016811157,0.343793482,0.792373657,-0.074901178,0.327365398,0.715488374,-0.067648336,0.341674775,0.836610496,-0.065474659,0.283769816,0.812780619,-0.036279596,0.322313607,0.81318891,-0.069422022,0.306880474,0.759841263,-0.0705593,0.316873133,0.85017401,-0.065372288
draw,0.34109515,0.945263267,-5.24E-05,0.375238717,0.908846378,-0.01573265,0.402092457,0.82466042,-0.041055895,0.40629667,0.752052426,-0.069469288,0.385678351,0.702145338,-0.092588119,0.36962378,0.737996697,0.00604306,0.372676641,0.576599896,-0.04498383,0.371134818,0.647497714,-0.017965434,0.371939719,0.509173155,-0.069258958,0.340629518,0.743001699,-0.008317189,0.366618276,0.739476562,-0.071782492,0.350678563,0.670990825,-0.05889928,0.365843415,0.782223582,-0.065659039,0.311333716,0.767298222,-0.029977761,0.34373045,0.786842346,-0.08306057,0.327037066,0.708856165,-0.081169836,0.339394122,0.825104773,-0.072408192,0.283087373,0.802802682,-0.051921695,0.321394503,0.808763385,-0.079747498,0.306585431,0.7541821,-0.084884256,0.313638002,0.838994324,-0.073862076
draw,0.336278647,0.933272362,-5.28E-05,0.373339623,0.889330387,-0.014051584,0.400888056,0.807332933,-0.037336525,0.405542314,0.733588874,-0.064152032,0.383725703,0.680716455,-0.084099866,0.366387814,0.719118893,0.016656803,0.371084213,0.557628751,-0.031534813,0.368563205,0.627137661,-0.006368283,0.371657252,0.492740631,-0.053434029,0.337004989,0.726028383,0.002334245,0.363421738,0.72719723,-0.058933835,0.34692353,0.652006745,-0.048453581,0.36192593,0.767664194,-0.049626283,0.307872832,0.750801265,-0.019746672,0.341418654,0.771236002,-0.073452577,0.323942184,0.693005264,-0.0713939,0.336150616,0.8060866,-0.061811559,0.279593259,0.785717666,-0.042218324,0.318567067,0.789060056,-0.067607507,0.303454161,0.735287547,-0.073226988,0.308980525,0.818964243,-0.060273174
draw,0.333892763,0.915497422,-4.40E-05,0.37385872,0.866285324,-0.013417806,0.401047707,0.784558415,-0.034032635,0.402856588,0.710282326,-0.057679474,0.380306989,0.659253895,-0.075240575,0.366360426,0.696655154,0.01536209,0.369576871,0.532524467,-0.03424862,0.366900444,0.603115976,-0.008152911,0.368920714,0.465370595,-0.056447901,0.336416394,0.704217851,0.001393755,0.363419831,0.705970943,-0.056399651,0.345669419,0.628900528,-0.046936259,0.361326814,0.747845054,-0.047874089,0.306498319,0.729012847,-0.019956803,0.341208875,0.746654749,-0.070347317,0.322696447,0.669110298,-0.068765268,0.335630357,0.78362602,-0.059520591,0.276976377,0.763803005,-0.041951589,0.318229377,0.760224998,-0.065351903,0.301436543,0.708083689,-0.071711048,0.309450448,0.792820334,-0.057347801
draw,0.332524151,0.904674649,-6.00E-05,0.371808499,0.859570503,-0.014592987,0.400204986,0.776192367,-0.038303271,0.403957635,0.702699602,-0.065768898,0.383891881,0.64975363,-0.087186776,0.366657615,0.683012009,0.013172911,0.369640619,0.510053217,-0.043079015,0.367389649,0.582765043,-0.013841846,0.368924975,0.443440944,-0.07034567,0.336459309,0.692442954,-0.003402452,0.363210708,0.703969657,-0.067010507,0.347953141,0.620559692,-0.05845065,0.35899213,0.74239558,-0.055420898,0.307141125,0.718394279,-0.028040862,0.339995205,0.74066025,-0.079266168,0.323060334,0.658583522,-0.081158765,0.333025545,0.772399306,-0.065431833,0.278330356,0.75419569,-0.05388644,0.316990435,0.76024574,-0.080521122,0.301716179,0.702515006,-0.086705543,0.306761742,0.789597571,-0.072985388
draw,0.332723379,0.892579496,-6.72E-05,0.374005884,0.839232802,-0.011160889,0.401479661,0.754379749,-0.032845296,0.402053744,0.676842451,-0.058942094,0.377731413,0.630627751,-0.076799825,0.366735548,0.664510489,0.014786802,0.369890064,0.49432534,-0.039994799,0.367189586,0.563849866,-0.013200141,0.368958622,0.430597484,-0.064064413,0.337457776,0.675061703,-0.001608465,0.362510055,0.688543677,-0.062687851,0.347989529,0.604501069,-0.056828026,0.357317299,0.725711107,-0.050108407,0.308353126,0.700625122,-0.026075087,0.340914816,0.722070634,-0.074161775,0.32269609,0.640101135,-0.076811254,0.334488839,0.755197108,-0.061090883,0.279389113,0.73599273,-0.051300094,0.31843558,0.740583539,-0.074727029,0.301156878,0.683773935,-0.080045365,0.310201854,0.770313621,-0.068227991
draw,0.332952201,0.882411003,-6.92E-05,0.37473923,0.8283723,-0.010478876,0.402464658,0.742088079,-0.030209051,0.40256691,0.663330257,-0.053941682,0.377514213,0.616469085,-0.070007883,0.368514717,0.650953889,0.019111797,0.371934921,0.479170263,-0.034241378,0.368449152,0.549017906,-0.007633636,0.371879816,0.417364061,-0.05819672,0.338957548,0.661312222,0.003340898,0.362836093,0.670586467,-0.055969942,0.348763496,0.589034379,-0.049287457,0.357176185,0.710001469,-0.044764429,0.309875995,0.686721742,-0.020430686,0.341705829,0.706708848,-0.068586871,0.323675036,0.624966264,-0.07039921,0.33455959,0.742098629,-0.055806935,0.280926973,0.721173584,-0.044939719,0.320016652,0.725587964,-0.070021294,0.302798063,0.668716669,-0.074671678,0.311196595,0.756235242,-0.063699231
